# AUTO-GENERATED. DO NOT EDIT MANUALLY.
schema_version,model_id,model_name,year,publication_type,venue,model_category,modalities,architecture,pretraining_data_summary,pretraining_strategy,reported_summary,paper_url,code_url,code_available,capabilities,benchmark_tracks,runtime_phase,license,license_verified,verification_status,implementation,reported_tasks_text,provenance,notes
1.0,deretfound,DERETFound,2025,journal,Nature Biomedical Engineering,眼科视觉基础模型,"[""CFP""]",ViT-L/16 MAE编码器 + ViT-S解码器,"约100万张合成CFP + 150,786张公开真实CFP；来源于AIROGS、EyePACS、DDR和ODIR-2019",两阶段MAE：合成CFP MAE预训练 + 真实CFP MAE领域适配,仅使用RETFound 16.7%的真实预训练数据，在9个数据集上达到相当或更优表现，并显著降低下游标注需求。,https://www.nature.com/articles/s41551-025-01365-0,https://github.com/Jonlysun/DERETFound,True,"[""feature_extraction"", ""classification""]",[],phase1_image_encoder,,False,seed_unverified,"{""adapter_status"": ""not_started"", ""smoke_test_status"": ""not_run"", ""benchmark_status"": ""not_run""}",CFP糖尿病视网膜病变分级；青光眼、AMD及多病种分类；特征提取；低标注下游微调与迁移,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 16, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: CFP""]"
1.0,eyeclip,EyeCLIP,2025,journal,NPJ Digital Medicine,视觉-语言眼科基础模型,"[""CFP"", ""OCT"", ""FFA"", ""ICGA"", ""FAF"", ""ultrasound"", ""external_eye"", ""slit_lamp"", ""specular_microscopy"", ""CT"", ""RetCam"", ""text""]",CLIP式ViT-B/32视觉编码器（12层、宽度768）+文本编码器；已验证的本地权重另含不参与特征提取的MAE解码器,278万图像 + 11180份血管造影报告；来自128554名患者、227家机构,联合训练：MIM + image-image contrastive learning + image-text contrastive learning,综合多模态和视觉语言优势；零样本、少样本、全监督微调均表现强；覆盖UKB等下游任务。,https://www.nature.com/articles/s41746-025-01772-2,https://github.com/Michi-3000/EyeCLIP,True,"[""image_encoding"", ""feature_extraction"", ""classification"", ""zero_shot_classification"", ""few_shot_classification"", ""retrieval"", ""vqa""]",[],phase2_vision_language,,False,partially_verified,"{""adapter_status"": ""implemented"", ""smoke_test_status"": ""passed"", ""benchmark_status"": ""not_run""}",眼科疾病零样本、少样本及全监督分类；图像—图像和图像—文本跨模态检索；眼科视觉问答；眼科及全身疾病预测,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 4, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: 11种眼科影像（CFP、FFA、SLP、ICGA、OUS、OCT、SM、FAF、EEP、CT、RetCam) + 结构化临床报告"", ""v0.3视觉Adapter依据官方EyeCLIP代码构建；A6000本地GPU smoke完成12张有效图像并隔离1张坏图，文本编码器与MAE解码器均不参与512维图像特征。""]"
1.0,flair,FLAIR,2025,journal,Medical Image Analysis,视觉-语言眼科基础模型,"[""CFP"", ""text""]",ResNet-50图像编码器 + BioClinicalBERT文本编码器,约28.8万CFP，101种视网膜疾病标签及专家文本描述,CLIP风格图文对比学习,系统化做眼底图文对齐，支持零样本分类；专家prompt显著优于简单类别prompt。,https://doi.org/10.1016/j.media.2024.103357,https://github.com/jusiro/FLAIR,True,"[""feature_extraction"", ""classification"", ""zero_shot_classification"", ""few_shot_classification""]",[],phase2_vision_language,,False,seed_unverified,"{""adapter_status"": ""not_started"", ""smoke_test_status"": ""not_run"", ""benchmark_status"": ""not_run""}",CFP眼底疾病零样本与少样本分类；线性探测与全量微调；跨数据集迁移；图像特征提取,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 5, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: CFP、专家文本描述""]"
1.0,fmue,FMUE,2025,journal,Cell Reports Medicine,眼科视觉基础模型,"[""OCT""]",RETFound ViT-Large/16编码器 + LoRA + 基于证据学习的Dirichlet不确定性分类器,"使用 102,468张有标签OCT图像，来源于汕头国际眼科中心",冻结RETFound-OCT主干，通过LoRA进行参数高效监督微调，并使用显式疾病标签训练Dirichlet证据分类器；在验证集上确定不确定性阈值，将高不确定性样本转交医生复核。,强调OCT诊断可靠性和不确定性估计；对后续模型置信度、外部泛化分析有方法学价值。,https://doi.org/10.1016/j.xcrm.2024.101876,https://github.com/yuanyuanpeng0129/FMUE,True,"[""classification"", ""uncertainty_estimation"", ""ood_detection""]",[],phase1_specialized,,False,seed_unverified,"{""adapter_status"": ""not_started"", ""smoke_test_status"": ""not_run"", ""benchmark_status"": ""not_run""}",OCT疾病分类；预测不确定性估计；分布外及开放集样本识别；高不确定病例分诊与人工复核；模型可靠性评估,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 10, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: OCT""]"
1.0,keepfit,KeepFIT,2024,conference,MICCAI,视觉-语言眼科基础模型,"[""CFP"", ""OCT"", ""text""]",ResNet-50图像编码器 + BioClinicalBERT文本编码器 + 视觉文本投影头 + 多头交叉注意力知识修订模块,"FLAIR汇集的37个公开数据集共278,348张CFP及类别标签，加上MM-Retinal中的2,169组CFP专家文本对",知识增强图文对比预训练,"相比 RETFound, FLAIR 具有较强的零样本、少样本和跨数据集迁移能力。",https://link.springer.com/chapter/10.1007/978-3-031-72378-0_67,https://github.com/lxirich/MM-Retinal,True,"[""classification"", ""zero_shot_classification"", ""few_shot_classification"", ""report_generation""]",[],phase2_vision_language,,False,seed_unverified,"{""adapter_status"": ""not_started"", ""smoke_test_status"": ""not_run"", ""benchmark_status"": ""not_run""}",CFP疾病零样本、少样本及全监督分类；跨数据集迁移；FFA图像描述与报告生成,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 11, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: CFP、OCT、眼科专家描述文本""]"
1.0,mirage,MIRAGE,2025,journal,npj Digital Medicine,多模态眼科视觉基础模型,"[""OCT"", ""SLO"", ""retinal_layer_pseudolabels""]",MultiMAE式多模态掩码自编码器：共享ViT编码器 + 模态特异性线性投影层 + 模态特异性Transformer解码器,约26.1万组配对的 OCT–SLO–视网膜层伪标签样本,MultiMAE多模态自监督掩码重建预训练,面向OCT和视网膜多任务分析，仓库同时提供基准和预训练权重；对OCT方向补充价值高。,https://www.nature.com/articles/s41746-025-01852-3,https://github.com/j-morano/MIRAGE,True,"[""feature_extraction"", ""classification"", ""segmentation""]",[],phase1_image_encoder,,False,seed_unverified,"{""adapter_status"": ""not_started"", ""smoke_test_status"": ""not_run"", ""benchmark_status"": ""not_run""}",OCT，SLO疾病诊断与分期；视网膜层及病灶分割；跨数据集分类和分割迁移；多模态特征提取,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 7, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: OCT、SLO、Retinal Layer Pseudo-labels""]"
1.0,preti,PRETI,2025,conference,MICCAI,眼科视觉基础模型,"[""CFP""]",ViT-S或ViT-B编码器 + ViT-S解码器 + Learnable Metadata Embedding（LME）+ Retina-Aware Adaptive Masking,"共 1,017,549张CFP，来自UK Biobank",患者级图像对重建 + 视网膜区域自适应掩码 + 元数据引导联合学习,无需临床报告，利用年龄和性别学习患者特异性表征；在眼病及全身生物标志物预测中表现领先。,https://link.springer.com/chapter/10.1007/978-3-032-04927-8_50,https://github.com/MICV-yonsei/PRETI,True,"[""feature_extraction"", ""classification""]",[],phase1_image_encoder,,False,seed_unverified,"{""adapter_status"": ""not_started"", ""smoke_test_status"": ""not_run"", ""benchmark_status"": ""not_run""}",CFP眼科疾病分类；冠状动脉钙化及eGFR等全身生物标志物预测；特征提取；低标注下游微调与迁移,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 14, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: CFP""]"
1.0,ret-clip,RET-CLIP,2024,conference,MICCAI,视觉-语言眼科基础模型,"[""CFP"", ""text""]",ViT-B/16视觉编码器 + RoBERTa-Base中文文本编码器 + MLP,"387,730张CFP图像和193,865份临床诊断报告，均来自中国北京同仁医院",左眼、右眼、患者三级图文对比预训练,在糖尿病视网膜病变、青光眼、多疾病分类和多标签疾病分类等4类任务、8个公开数据集上评测；在线性探测和全量微调中均有16项AUROC或AUPR指标取得最高结果。突出特点是利用真实临床报告，并同时建模单眼细粒度信息与患者双眼整体信息。,https://doi.org/10.1007/978-3-031-72390-2_66,https://github.com/sStonemason/RET-CLIP,True,"[""classification""]",[],phase2_vision_language,,False,seed_unverified,"{""adapter_status"": ""not_started"", ""smoke_test_status"": ""not_run"", ""benchmark_status"": ""not_run""}",CFP糖尿病视网膜病变分级；青光眼识别；多病种及多标签分类；线性探测与全量微调；患者双眼级表征迁移,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 12, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: CFP、中文临床自由文本报告""]"
1.0,retfound,RETFound,2023,journal,Nature,眼科视觉基础模型,"[""CFP"", ""OCT""]",MAE 自监督框架：ViT-Large/16 编码器 + ViT-Small 解码器；下游任务使用 ViT-Large 编码器 + MLP 分类头,自然图像 ImageNet-1k、约90.4万CFP、73.6万OCT；主要来自 MEH-MIDAS，另含 EyePACS 和 Kermany 等公开数据,MAE；随机遮挡patch后重建像素,在眼科疾病诊断、湿性 AMD 预后预测和 oculomics 全身疾病风险预测中表现优于多种自监督学习基线；具有较强泛化能力和标注效率，可学习视盘、血管、视网膜神经纤维层等视网膜特异结构及病灶表征；但主要用于分类/风险预测，不支持文本生成或视觉定位。,https://www.nature.com/articles/s41586-023-06555-x,https://github.com/rmaphoh/RETFound,True,"[""feature_extraction"", ""classification"", ""risk_prediction"", ""prognosis""]",[],phase1_image_encoder,,False,partially_verified,"{""adapter_status"": ""implemented"", ""smoke_test_status"": ""passed"", ""benchmark_status"": ""not_run""}",CFP，OCT眼科疾病分类；湿性AMD进展与预后预测；全身疾病风险预测；特征提取；下游迁移,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 2, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: CFP、OCT"", ""RETFound CFP adapter verified with the official MAE ViT-L/16 architecture and a local authenticated checkpoint; no weights are redistributed.""]"
1.0,retfound-green,RETFound-Green,2025,journal,Nature Communications,眼科视觉基础模型,"[""CFP""]",ViT-Small + 4个Register Tokens,"75,000张公开CFP；来源：AIROGS、DDR和ODIR-2019",Self-supervised Token Reconstruction；学生模型从强扰动输入预测教师token特征,相比RETFound计算量降低400倍、模型缩小14倍；线性探测性能可比完全微调RETFound，在多数下游任务中表现更优，具有轻量、低碳和低资源适用性。,https://www.nature.com/articles/s41467-025-62123-z,https://github.com/justinengelmann/RETFound_Green,True,"[""feature_extraction"", ""classification""]",[],phase1_image_encoder,,False,partially_verified,"{""adapter_status"": ""implemented"", ""smoke_test_status"": ""passed"", ""benchmark_status"": ""not_run""}",CFP眼科疾病分类；线性探测；图像特征提取；低算力、低资源场景下的下游迁移与部署,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 8, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: CFP"", ""A6000本地GPU smoke已通过：12张有效图像生成384维特征，1张坏图被隔离；未重新分发权重。""]"
1.0,retizero,RetiZero,2025,journal,Nature Communications,视觉-语言眼科基础模型,"[""CFP"", ""text""]",冻结的 RETFound 图像编码器ViT-Large/16 ＋ BioClinicalBERT 文本编码器,约34.2万CFP，覆盖400+眼底疾病概念,CLIP风格图文对比学习,强调400+眼底疾病零样本识别，罕见病识别能力强；适合作为眼底VLM路线代表。,https://www.nature.com/articles/s41467-025-60577-9,https://github.com/LooKing9218/RetiZero,True,"[""classification"", ""zero_shot_classification"", ""few_shot_classification"", ""retrieval""]",[],phase2_vision_language,,False,seed_unverified,"{""adapter_status"": ""not_started"", ""smoke_test_status"": ""not_run"", ""benchmark_status"": ""not_run""}",常见及罕见眼底疾病零样本识别；多病种分类；相似病例图像检索；少样本微调与临床辅助诊断,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 6, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: CFP 、模板化疾病文本描述""]"
1.0,urfound,UrFound,2024,conference,MICCAI,视觉-语言眼科基础模型,"[""CFP"", ""OCT"", ""text""]",共享ViT-B编码器 + 8层图像解码器 + 6层条件语言解码器,"103,786张CFP，来自25个公开数据集；83,484张OCT，来自OCTCELL",图像掩码重建MIM + 图像条件掩码语言建模MLM,同一模型统一处理CFP和OCT；在8个公开数据集上全部AUROC最优，具有较强的数据效率与跨模态泛化能力。,https://link.springer.com/chapter/10.1007/978-3-031-72390-2_70,https://github.com/yukkai/UrFound,True,"[""feature_extraction"", ""classification""]",[],phase2_vision_language,,False,seed_unverified,"{""adapter_status"": ""not_started"", ""smoke_test_status"": ""not_run"", ""benchmark_status"": ""not_run""}",CFP，OCT眼科疾病分类；线性探测与下游微调；低数据量迁移；跨模态及跨数据集泛化；通用特征提取,"{""source_file"": ""ophthalmic_models_seed_v0.xlsx"", ""source_sheet"": ""眼科大模型"", ""source_row"": 15, ""imported_at"": ""2026-07-11T09:30:27Z""}","[""Original modality text: CFP、OCT、由专家标签扩展的医学描述文本""]"
